[Begin]
2016/07/22 15:09:17 [error] 27512#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.46.1, server: 192.168.46.191, request: "GET / HTTP/1.1", upstream: "uwsgi://127.0.0.1:8081", host: "192.168.46.191"
2016/07/22 15:16:46 [error] 27512#0: *7 open() "/home/prologic/workspace/python/principal/media/avatar/2/64x64@2x.jpg" failed (2: No such file or directory), client: 192.168.46.1, server: 192.168.46.191, request: "HEAD /media/avatar/2/64x64@2x.jpg HTTP/1.1", host: "192.168.46.191", referrer: "http://192.168.46.191/"
2016/07/22 15:16:46 [error] 27512#0: *8 open() "/home/prologic/workspace/python/principal/media/avatar/2/64x64@2x.jpg" failed (2: No such file or directory), client: 192.168.46.1, server: 192.168.46.191, request: "HEAD /media/avatar/2/64x64@2x.jpg HTTP/1.1", host: "192.168.46.191", referrer: "http://192.168.46.191/"
2016/07/22 15:16:46 [error] 27512#0: *3 open() "/home/prologic/workspace/python/principal/static/gem/assets/images/flags/gb@2x.png" failed (2: No such file or directory), client: 192.168.46.1, server: 192.168.46.191, request: "HEAD /static/gem/assets/images/flags/gb@2x.png HTTP/1.1", host: "192.168.46.191", referrer: "http://192.168.46.191/"
2016/07/22 15:16:46 [error] 27512#0: *10 open() "/home/prologic/workspace/python/principal/static/gem/assets/images/flags/fr@2x.png" failed (2: No such file or directory), client: 192.168.46.1, server: 192.168.46.191, request: "HEAD /static/gem/assets/images/flags/fr@2x.png HTTP/1.1", host: "192.168.46.191", referrer: "http://192.168.46.191/"
2016/07/22 15:16:46 [error] 27512#0: *6 open() "/home/prologic/workspace/python/principal/static/gem/img/logo/logo.498_72.light@2x.png" failed (2: No such file or directory), client: 192.168.46.1, server: 192.168.46.191, request: "HEAD /static/gem/img/logo/logo.498_72.light@2x.png HTTP/1.1", host: "192.168.46.191", referrer: "http://192.168.46.191/"
2016/07/22 15:22:51 [error] 1341#0: *38 open() "/home/prologic/workspace/python/principal/media/avatar/2/64x64@2x.jpg" failed (2: No such file or directory), client: 192.168.46.1, server: 192.168.46.191, request: "HEAD /media/avatar/2/64x64@2x.jpg HTTP/1.1", host: "192.168.46.191", referrer: "http://192.168.46.191/"
2016/07/22 15:22:51 [error] 1339#0: *4 open() "/home/prologic/workspace/python/principal/static/gem/img/logo/logo.498_72.light@2x.png" failed (2: No such file or directory), client: 192.168.46.1, server: 192.168.46.191, request: "HEAD /static/gem/img/logo/logo.498_72.light@2x.png HTTP/1.1", host: "192.168.46.191", referrer: "http://192.168.46.191/"
2016/07/22 15:22:51 [error] 1338#0: *36 open() "/home/prologic/workspace/python/principal/static/gem/assets/images/flags/gb@2x.png" failed (2: No such file or directory), client: 192.168.46.1, server: 192.168.46.191, request: "HEAD /static/gem/assets/images/flags/gb@2x.png HTTP/1.1", host: "192.168.46.191", referrer: "http://192.168.46.191/"
2016/07/22 15:22:51 [error] 1338#0: *37 open() "/home/prologic/workspace/python/principal/media/avatar/2/64x64@2x.jpg" failed (2: No such file or directory), client: 192.168.46.1, server: 192.168.46.191, request: "HEAD /media/avatar/2/64x64@2x.jpg HTTP/1.1", host: "192.168.46.191", referrer: "http://192.168.46.191/"
2016/07/22 15:22:51 [error] 1339#0: *3 open() "/home/prologic/workspace/python/principal/static/gem/assets/images/flags/fr@2x.png" failed (2: No such file or directory), client: 192.168.46.1, server: 192.168.46.191, request: "HEAD /static/gem/assets/images/flags/fr@2x.png HTTP/1.1", host: "192.168.46.191", referrer: "http://192.168.46.191/"
